;Cod_setor;lat;long;TIPO;income
325;352330510000014;-47.09128648761168;-24.3132048515006;RURAL;0.4744620491140796
326;352330510000015;-47.07070060110536;-24.25241063865886;RURAL;0.5236930316599011
327;352330510000020;-47.09398402388983;-24.34398849010428;RURAL;0.344377879878224
328;352330510000023;-47.0656085169052;-24.29906949512008;RURAL;0.6410057193477454
329;352330510000024;-47.034997176278196;-24.292575488839788;URBANO;0.5174147033685109
330;352330510000025;-47.02971600956555;-24.306076642805316;URBANO;0.4608275186151515
331;352330510000028;-47.05621888183318;-24.310783210428653;URBANO;0.5062215183476726
332;352330510000029;-47.07589247137745;-24.30976011319792;URBANO;0.5641641038792089
333;352330510000031;-47.026192908590595;-24.29621674478369;RURAL;0.4782556233843986
334;352460005000001;-48.005239216359485;-24.69812143770999;URBANO;0.7038784445790335
335;352460005000002;-47.99989867008307;-24.691573748690544;URBANO;0.6794113382381677
336;352460005000003;-48.00027730902947;-24.70533433769757;URBANO;0.6692001339877778
337;352460005000004;-48.00366889806215;-24.701013188318186;URBANO;0.5898921668762144
338;352460005000005;-48.00652054829413;-24.70366592879917;URBANO;0.6605332231349555
339;352460005000006;-48.003727308049896;-24.708462662523676;URBANO;0.6077875984061278
340;352460005000007;-48.00875955513946;-24.708887875564553;URBANO;0.5772828649602031
341;352460005000008;-48.011123145806216;-24.705764281939317;URBANO;0.5866891700103358
342;352460005000009;-48.01330098850845;-24.702778269191214;URBANO;0.6152222812831918
343;352460005000010;-48.00912751658896;-24.696439269085005;URBANO;0.6406526984077261
344;352460005000011;-48.04798195141252;-24.685585181303914;RURAL;0.5062921535060269
345;352460005000012;-48.092457964744554;-24.6378831021647;RURAL;0.4917894989648733
346;352460005000013;-48.03563138587713;-24.605274850884342;RURAL;0.5029797014559915
347;352460005000014;-47.99309068526708;-24.642468170511485;RURAL;0.5211633827826035
